ADM3_PCODE;JUNTA_SEXO;Sufragantes;Votos_válidos;Nulos;Blancos;Nulos_pct;Blancos_pct;"DANIEL NOBOA AZIN
(Derecha liberal 
moderada)";"LUISA GONZALEZ
(Izquierda autoritaria)"
EC010554;FEMENINO;666,0;552,0;106,0;8,0;0,15915915915915915;0,012012012012012012;0,4774774774774775;0,35135135135135137
EC010556;FEMENINO;331,0;303,0;26,0;2,0;0,07854984894259819;0,006042296072507553;0,4954682779456193;0,4199395770392749
EC010559;FEMENINO;748,0;675,0;63,0;10,0;0,08422459893048129;0,013368983957219251;0,46524064171123;0,43716577540106955
EC010561;FEMENINO;451,0;410,0;36,0;5,0;0,07982261640798226;0,011086474501108648;0,29490022172949004;0,614190687361419
EC010562;FEMENINO;470,0;413,0;51,0;6,0;0,10851063829787234;0,01276595744680851;0,4553191489361702;0,42340425531914894
EC010650;FEMENINO;2661,0;2515,0;127,0;19,0;0,04772641863960917;0,007140172867343104;0,3652762119503946;0,5798571965426531
EC010652;FEMENINO;503,0;475,0;24,0;4,0;0,04771371769383698;0,007952286282306162;0,4115308151093439;0,532803180914513
EC010750;FEMENINO;1463,0;1392,0;57,0;14,0;0,03896103896103896;0,009569377990430622;0,6766917293233082;0,2747778537252221
EC010751;FEMENINO;245,0;235,0;9,0;1,0;0,036734693877551024;0,004081632653061225;0,6530612244897959;0,30612244897959184
EC010850;FEMENINO;5249,0;4911,0;311,0;27,0;0,059249380834444657;0,005143836921318346;0,6344065536292627;0,3012002286149743
EC010851;FEMENINO;1082,0;1020,0;59,0;3,0;0,054528650646950096;0,0027726432532347504;0,6090573012939002;0,333641404805915
EC010852;FEMENINO;486,0;457,0;22,0;7,0;0,04526748971193416;0,01440329218106996;0,5288065843621399;0,411522633744856
EC010853;FEMENINO;642,0;595,0;42,0;5,0;0,06542056074766354;0,00778816199376947;0,5514018691588785;0,37538940809968846
EC010854;FEMENINO;250,0;231,0;15,0;4,0;0,06;0,016;0,732;0,192
EC010950;FEMENINO;4850,0;4292,0;508,0;48,0;0,10474226804123711;0,009896907216494845;0,48701030927835054;0,3979381443298969
EC010951;FEMENINO;543,0;483,0;56,0;4,0;0,10313075506445672;0,007366482504604052;0,6132596685082873;0,27624309392265195
EC010952;FEMENINO;1231,0;1109,0;116,0;6,0;0,09423233143785541;0,00487408610885459;0,44922826969943136;0,4516653127538586
EC010953;FEMENINO;460,0;428,0;29,0;3,0;0,06304347826086956;0,006521739130434782;0,44782608695652176;0,4826086956521739
EC010954;FEMENINO;1227,0;1128,0;89,0;9,0;0,07253463732681337;0,007334963325183374;0,5118174409127955;0,40749796251018744
EC010955;FEMENINO;1302,0;1146,0;146,0;10,0;0,11213517665130568;0,007680491551459293;0,4646697388632873;0,41551459293394777
EC010956;FEMENINO;733,0;678,0;53,0;2,0;0,0723055934515689;0,002728512960436562;0,757162346521146;0,16780354706684858
EC011050;FEMENINO;1121,0;999,0;108,0;14,0;0,09634255129348795;0,012488849241748439;0,5147190008920607;0,37644959857270294
EC011051;FEMENINO;375,0;354,0;20,0;1,0;0,05333333333333334;0,0026666666666666666;0,4666666666666667;0,47733333333333333
EC011150;FEMENINO;2886,0;2610,0;246,0;30,0;0,08523908523908524;0,010395010395010396;0,5606375606375607;0,3437283437283437
EC011151;FEMENINO;487,0;429,0;53,0;5,0;0,10882956878850103;0,01026694045174538;0,32854209445585214;0,5523613963039015
EC011152;FEMENINO;408,0;359,0;41,0;8,0;0,10049019607843138;0,0196078431372549;0,5563725490196079;0,3235294117647059
EC011153;FEMENINO;417,0;378,0;36,0;3,0;0,08633093525179857;0,007194244604316547;0,4676258992805755;0,43884892086330934
EC011154;FEMENINO;290,0;268,0;19,0;3,0;0,06551724137931035;0,010344827586206896;0,6862068965517242;0,23793103448275862
EC011250;FEMENINO;661,0;610,0;48,0;3,0;0,07261724659606657;0,0045385779122541605;0,4130105900151286;0,5098335854765507
EC011253;FEMENINO;519,0;492,0;24,0;3,0;0,046242774566473986;0,005780346820809248;0,3448940269749518;0,603082851637765
EC011350;FEMENINO;958,0;905,0;48,0;5,0;0,05010438413361169;0,005219206680584551;0,27244258872651356;0,6722338204592901
EC011351;FEMENINO;335,0;323,0;9,0;3,0;0,026865671641791045;0,008955223880597015;0,29850746268656714;0,6656716417910448
EC011352;FEMENINO;798,0;752,0;41,0;5,0;0,05137844611528822;0,006265664160401002;0,2744360902255639;0,6679197994987469
EC011450;FEMENINO;1324,0;1207,0;106,0;11,0;0,08006042296072508;0,008308157099697885;0,44033232628398794;0,47129909365558914
EC011550;FEMENINO;7175,0;6699,0;421,0;55,0;0,05867595818815331;0,007665505226480836;0,36808362369337977;0,565574912891986
EC020150;FEMENINO;10005,0;8826,0;1107,0;71,0;0,11064467766116942;0,007096451774112943;0,5943028485757121;0,28785607196401797
EC020151;FEMENINO;889,0;748,0;131,0;9,0;0,14735658042744657;0,010123734533183352;0,5376827896512936;0,30371203599550056
EC020153;FEMENINO;859,0;716,0;137,0;6,0;0,15948777648428406;0,006984866123399301;0,5587892898719441;0,27473806752037255
EC020155;FEMENINO;1619,0;1475,0;125,0;19,0;0,07720815318097592;0,01173563928350834;0,40580605311920936;0,5052501544163064
EC020156;FEMENINO;703,0;650,0;44,0;9,0;0,06258890469416785;0,012802275960170697;0,7211948790896159;0,2034139402560455
