cluster,parroquias,parroquias_con_voto_pc,provincia_mas_comun,canton_mas_comun,pc_centro,pc_centro_derecha,pc_centro_izquierda,pc_derecha_liberal,pc_derecha_autoritaria,pc_izquierda_autoritaria,pc_izquierda_libertaria,pc_derecha_total,pc_izquierda_total,pc_liberal_total,pc_autoritaria_total,pc_economic_right_minus_left,pc_social_authoritarian_minus_libertarian,elec_v2_nulos_pct,elec_v2_blancos_pct,sat_pobreza_pct,censo_nbi_pobreza_pct,viirs,ndvi,mndwi
2,301,300,Tungurahua,Distrito Metropolitano de Quito,0.030910176900481135,0.0017221715802272094,0.0024359855751645678,0.4494930754530781,0.010858977282399217,0.31920512358213565,0.09308951751811775,0.4620742243157045,0.414730626675418,0.5450185785463604,0.33006410086453486,0.04734359764028654,-0.21495447768182555,0.06379361266147829,0.005969814461049398,0.4082547929933518,0.4082547929933518,5.773181087862791,0.45820487840786533,-0.28739763232823157
0,6,5,Manabí,Cuenca,0.032159549051856015,0.00125906708402948,0.0022657387877285003,0.39613517123558717,0.01190489814275882,0.450074738206321,0.01103568633973066,0.4092991364623755,0.4633761633337802,0.4094365963630463,0.46197963634907985,-0.054077026871404685,0.05254303998603351,0.06413633267305399,0.00553222733043766,0.23314157338559136,0.23314157338559136,33.31884718594643,0.21530074308282748,-0.19242828029224826
4,256,254,Loja,Loja,0.027628092409532984,0.0019083553268036658,0.0028617041948480635,0.3852715445570622,0.011701241729494292,0.35087848610822764,0.10807763787600078,0.39888114161336014,0.4618178281790765,0.4962108866279111,0.3625797278377219,-0.06293668656571635,-0.13363115879018908,0.06520414643372739,0.009709494555296207,0.6607253248228984,0.6607253248228984,1.374873806574802,0.4664941920739726,-0.31429350277026924
1,132,131,Morona Santiago,Francisco de Orellana,0.023120046889118003,0.002268879856037903,0.0032522778650210028,0.3689144266062153,0.014476905491201961,0.3338355305465909,0.13749580809960238,0.3856602119534552,0.4745836165112143,0.5096625125708387,0.3483124360377929,-0.08892340455775907,-0.16135007653304584,0.05690152226504949,0.01091584604007195,0.8543439495963239,0.8543439495963239,1.0606866711867151,0.5806576033054387,-0.2495157443160367
3,346,342,Manabí,Eloy Alfaro,0.01863809485378097,0.001446549886039676,0.001642573375720799,0.24345191582442674,0.013605213497384762,0.5557826170599248,0.03404443266569159,0.25850367920785117,0.5914696231013371,0.2791389218658391,0.5693878305573095,-0.332965943893486,0.2902489086914704,0.07018809009256026,0.012334622673762926,0.7107318777367184,0.7107318777367184,2.670331952974092,0.3979618822315755,-0.2253867240609826
