issue,ADM3_PCODE,provincia_sat,canton_sat,parroquia_sat,sat_personas,censo_personas,censo_nbi_personas_viviendas_particulares,censo_personas_minus_sat_personas,censo_nbi_personas_minus_sat_personas
sat_personas_differs_from_total_population,EC200351,Galápagos,Santa Cruz,Bella Vista,3928,3933.0,3928.0,5.0,0.0
sat_personas_differs_from_total_population,EC200352,Galápagos,Santa Cruz,Santa Rosa,560,563.0,560.0,3.0,0.0
sat_personas_differs_from_total_population,EC210152,Sucumbíos,Lago Agrio,Dureno,3145,3149.0,3145.0,4.0,0.0
sat_personas_differs_from_total_population,EC210155,Sucumbíos,Lago Agrio,El Eno,6915,6918.0,6915.0,3.0,0.0
sat_personas_differs_from_total_population,EC210156,Sucumbíos,Lago Agrio,Pacayacu,8423,8428.0,8423.0,5.0,0.0
sat_personas_differs_from_total_population,EC210157,Sucumbíos,Lago Agrio,Jambelí,3473,3478.0,3473.0,5.0,0.0
sat_personas_differs_from_total_population,EC210254,Sucumbíos,Gonzalo Pizarro,Puerto Libre,1558,1565.0,1558.0,7.0,0.0
sat_personas_differs_from_total_population,EC210354,Sucumbíos,Putumayo,Santa Elena,1797,1803.0,1797.0,6.0,0.0
sat_personas_differs_from_total_population,EC210451,Sucumbíos,Shushufindi,Limoncocha,6852,6857.0,6852.0,5.0,0.0
sat_personas_differs_from_total_population,EC210453,Sucumbíos,Shushufindi,San Roque,4469,4483.0,4469.0,14.0,0.0
sat_personas_differs_from_total_population,EC210652,Sucumbíos,Cascales,Sevilla,3103,3106.0,3103.0,3.0,0.0
sat_personas_differs_from_total_population,EC220151,Orellana,Francisco de Orellana,Dayuma,7248,7253.0,7248.0,5.0,0.0
sat_personas_differs_from_total_population,EC220157,Orellana,Francisco de Orellana,Inés Arango,3639,3661.0,3639.0,22.0,0.0
sat_personas_differs_from_total_population,EC220251,Orellana,Aguarico,Capitán Augusto Rivadeneyra,1137,1142.0,1137.0,5.0,0.0
