feature_id,metric,reason
censo_ind_tic_1_2_total_geografia_uso_de_tic_en_los_ultimos_3_meses_uso_de_internet_no,Uso de TIC en los últimos 3 meses | Uso de internet | No,no_total_row_in_table_group
censo_ind_tic_1_2_total_geografia_uso_de_tic_en_los_ultimos_3_meses_uso_de_internet_si,Uso de TIC en los últimos 3 meses | Uso de internet | Sí,no_total_row_in_table_group
censo_ind_tic_1_2_total_geografia_uso_de_tic_en_los_ultimos_3_meses_uso_de_tablet_no,Uso de TIC en los últimos 3 meses | Uso de tablet | No,no_total_row_in_table_group
censo_ind_tic_1_2_total_geografia_uso_de_tic_en_los_ultimos_3_meses_uso_de_tablet_si,Uso de TIC en los últimos 3 meses | Uso de tablet | Sí,no_total_row_in_table_group
censo_ind_tic_1_2_total_geografia_uso_de_tic_en_los_ultimos_3_meses_uso_de_telefono_celular_no,Uso de TIC en los últimos 3 meses | Uso de teléfono celular | No,no_total_row_in_table_group
censo_ind_tic_1_2_total_geografia_uso_de_tic_en_los_ultimos_3_meses_uso_de_telefono_celular_si,Uso de TIC en los últimos 3 meses | Uso de teléfono celular | Sí,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_computadora_de_escritorio_o_laptop_no,Disponibilidad de bienes y servicios TIC | Computadora (de escritorio o laptop) | No,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_computadora_de_escritorio_o_laptop_si,Disponibilidad de bienes y servicios TIC | Computadora (de escritorio o laptop) | Sí,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_internet_fijo_no,Disponibilidad de bienes y servicios TIC | Internet fijo | No,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_internet_fijo_si,Disponibilidad de bienes y servicios TIC | Internet fijo | Sí,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_telefono_celular_no,Disponibilidad de bienes y servicios TIC | Teléfono celular | No,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_telefono_celular_si,Disponibilidad de bienes y servicios TIC | Teléfono celular | Sí,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_telefono_convencional_no,Disponibilidad de bienes y servicios TIC | Teléfono convencional | No,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_telefono_convencional_si,Disponibilidad de bienes y servicios TIC | Teléfono convencional | Sí,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_television_pagada_no,Disponibilidad de bienes y servicios TIC | Televisión pagada | No,no_total_row_in_table_group
censo_ind_tic_3_2_disponibilidad_de_bienes_y_servicios_tic_television_pagada_si,Disponibilidad de bienes y servicios TIC | Televisión pagada | Sí,no_total_row_in_table_group
