cluster,parroquias,parroquias_con_voto_pc,provincia_mas_comun,canton_mas_comun,pc_centro,pc_centro_derecha,pc_centro_izquierda,pc_derecha_liberal,pc_derecha_autoritaria,pc_izquierda_autoritaria,pc_izquierda_libertaria,pc_derecha_total,pc_izquierda_total,pc_liberal_total,pc_autoritaria_total,pc_economic_right_minus_left,pc_social_authoritarian_minus_libertarian,elec_v2_nulos_pct,elec_v2_blancos_pct,sat_pobreza_pct,censo_nbi_pobreza_pct,viirs,ndvi,mndwi
1,251,250,Pichincha,Distrito Metropolitano de Quito,0.02965527064010315,0.0014980234775805563,0.002093018799426787,0.42357310455568037,0.010909619839476664,0.3770531389698216,0.06651877808604865,0.4359807478727376,0.4456649358552971,0.4921849014411558,0.3879627588092983,-0.009684187982559498,-0.10422214263185751,0.0629112006495922,0.00583591541218717,0.3326273529618438,0.3326273529618438,7.311119502371449,0.4244474573050927,-0.270320481959002
3,166,166,Azuay,Cuenca,0.02825836895267634,0.002056865582052905,0.0027837105054065127,0.37666951571982615,0.011101118102381595,0.33224811934744963,0.1363086116434944,0.3898274994042607,0.47134044149635057,0.5157618378687271,0.3433492374498312,-0.08151294209208987,-0.17241260041889586,0.07328629909246635,0.00791140515816059,0.5147510557663725,0.5147510557663725,2.787470292825983,0.4757239340745605,-0.3188646451987101
4,311,307,El Oro,La Joya de los Sachas,0.023686621768083643,0.0015130789825018541,0.0019042199605879553,0.35423844809154065,0.011410416852933062,0.46417707596469493,0.03915772458758252,0.36716194392697554,0.5052390205128654,0.3953003926397111,0.475587492817628,-0.13807707658588986,0.0802871001779169,0.05683756951938748,0.009642546351858898,0.6700738904852022,0.6700738904852022,2.3138799605922897,0.4667898109057951,-0.2467496309892036
2,116,115,Loja,Alausí,0.024538638991678546,0.001972255856463193,0.003191483435005385,0.32421403697471257,0.012047529996854954,0.3164565022658174,0.19283968858395437,0.3382338228280308,0.5124876742847772,0.5202452089936723,0.32850403226267233,-0.17425385145674635,-0.19174117673100008,0.0771635194704386,0.010408007736143692,0.8145824189980143,0.8145824189980143,1.0163951362720658,0.4505966122587425,-0.3231031146781352
0,197,194,Manabí,Eloy Alfaro,0.0188448329735968,0.002022382255287207,0.002679582268625702,0.2671117646513255,0.017423382586726162,0.4774939336979248,0.059969025002462824,0.2865575294933389,0.5401425409690134,0.32976037192241403,0.494917316284651,-0.25358501147567447,0.16515694436223693,0.06836484789202447,0.015483397673762545,0.9151937813923128,0.9151937813923128,1.1077371274878265,0.45642469145935916,-0.22001350419940308
